 x, u(initial), v, u(Exact), v, u(Comp), v
  -1.00999999     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.990000010     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.980000019     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.970000029     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.959999979     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.949999988     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.939999998     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.930000007     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.920000017     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.910000026     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.899999976     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.889999986     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.879999995     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.870000005     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.860000014     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.850000024     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.840000033     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.829999983     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.819999993     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
 -0.810000002     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000    
